,id,text
0,1255539980610555906,RT @WHO: Media briefing on #COVID19 with @DrTedros. https://t.co/WC2ljICW8i
1,1235249562136309761,RT @SharylAttkisson: I defer to https://t.co/2E8ilK708i but this is the clearest explanation I've seen given to the public about how scient…
2,1259871554822955008,"""In Wuhan, 🇨🇳 the 1st cluster of #COVID19 cases since their lockdown was lifted was identified.

🇩🇪 has also reported an increase in cases since an easing of restrictions.

Fortunately all 3 countries have systems in place to detect and respond to a resurgence in cases""-@DrTedros"
3,1264183579652825088,NEW: China reported no new confirmed cases of COVID-19 across the country on Saturday for the first time since the pandemic started there late last year https://t.co/2iw57QVgSB
4,1264141525815930880,".@CDCgov, the apex health agency of USA revised its COVID-19 transmission guidelines stating that the virus SARS-CoV-2 transmits more easily through directly coming in contact with a positive patient rather than touching surfaces
#COVID19 #CoronaVirusFacts
https://t.co/LDPS3WZw3X"
5,1262095542110339073,Get the latest updates about #COVID19 on our website: https://t.co/TVJ3KHe88o #covid19MA https://t.co/EpwO4XbDHa
6,1239909939210063874,"RT @CPHO_Canada: 1/12 There continues to be a concerning increase in the number of #COVID19 cases reported in #Canada, with all provinces n…"
7,1222531805095424001,"RT @bongbongmarcos: Para sa mga karagdagan pang impormasyon:

WORLD HEALTH ORGANIZATION
https://t.co/Sf3bHkGp7T

CENTERS FOR DISEASE CONTRO…"
8,1247188892714807296,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/e5rc2jbeZu
9,1252318623273824256,"As U.S. hospitals deal with a continuing influx of COVID-19 patients, cardiologists are sounding an alarm: People may be ignoring heart attack symptoms in fear of going to the ER. https://t.co/XhgkPJKZxy https://t.co/0B9G0YKB5Q"
10,1251618976913936387,"RT @WHO: LIVE: One world, #TogetherAtHome! #COVID19 https://t.co/kHCdwCHKwf"
11,1247785695977955330,"#IndiaFightsCorona:

#AIIMS New Delhi is conducting several Webinars for capacity building for #COVID19. 
The schedule for ""Physicians Webinars on #COVID19 &amp; Pregnancy"" can be seen at https://t.co/cUaCwwOT5B

@PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @COVIDNewsByMIB"
12,1220692264982155264,"RT @WHO: Q: What can I do to protect myself from #coronavirus?

A: https://t.co/PKzKaO2yfK https://t.co/eNhlhR0PEq"
13,1253896518735519745,"BOOM has tracked the #COVID19 pandemic and fake news around it for months now. Stay updated with the latest news on health, economy, politics and more affected due to the virus with our EXCLUSIVE #coronavirus newsletter. #SignUp

https://t.co/TDwAMhLhJE"
14,1251675306450173952,"RT @WHO: WHO’s #COVID19 response includes a practical manual on how to set up and manage treatment centres, which covers:
☑️structural desi…"
15,1236479419155439617,"Updated info on #COVID19 in GA: There are now 5 confirmed cases of COVID-19 in Georgia – three in Fulton County, 1 in Polk County (previously reported as Floyd County) and 1 in Cobb County. Read more: https://t.co/iUyDL1TizS"
16,1248719829567254529,"Today @SecretaryLevine talked with @CNN's @andersoncooper about #COVID19 in Pennsylvania. 

Watch ⤵️ https://t.co/utBjEB9bjN"
17,1259785723789500418,#AskWHO about breastfeeding during #COVID19 https://t.co/7CPwA7YmFl
18,1258184771835957254,"Unlike ventilator allocation, provision of CPR to patients cannot be practically adjudicated by a hospital-level triage team. How does the surge of patients with Covid-19 complicate standard CPR practices, and how can we best design crisis standards for inpatient CPR? #COVID19"
19,1249698856435994625,"We want you to be informed, but too much news about #COVID19 can be stressful and overwhelming. 

Take breaks from the news and social media throughout the day and try to do other activities you enjoy, like listening to music, practicing yoga or talking to a friend on the phone. https://t.co/MqbUupLBdS"
20,1260624445154242560,A video went viral of Facebook with visuals of several people lying on the ground. Claims have been that they were the COVID-19 victims in India.  #Corona #coronavirus #COVID #COVID19 #covid19 #Fake #Modified https://t.co/KpfSO8MrKK https://t.co/ynrTvh9kDg
21,1262443282728210432,"During a crisis, it can be hard to tell what information is trustworthy. Stay informed and help fight #misinformation. Download the Canada #COVID19 app today. https://t.co/9dd1p1dbMj https://t.co/dqtKPeA6VF"
22,1254244316425437187,"The World Health Organization says there's ""no evidence"" that recovering from COVID-19 protects against reinfection — and thus, proposals for reopening society based on such an idea are unreliable. https://t.co/eYxlrWzvK8"
