,id,text
0,1252024214703529989,"Since the #COVID19 pandemic shutdown, the lives of some international students who attend McMaster and Mohawk have been put on hold. A Hamilton philanthropist is leading an initiative to offer support, @jonjwells reports #HamOnt
https://t.co/9Aj8ztj27G"
1,1252024228217417729,@readyforthenet @yutaka_IL @bhaines0 MyPOV: from corporations to governments to institutions we have rewarded short term thinking over long term thinking. we fail our own marshmellow tests to go with short term gain over short term pain for long term gain. it's societal.  #covid19 #coronavirus
2,1252024246756311041,Analysis: @willisweighsin explores what Joe Biden's past predicts for his likely tax policy proposals amid crises like the #CoronavirusPandemic. https://t.co/sjBJlhyJsm https://t.co/tCBfMmTbRm
3,1252024210572140552,"41,000 Americans dead from coronavirus and Donald Trump is whining about how the press treats him unfairly. #COVID19 #TrumpPressConference"
4,1252024208999227395,Orgs should have remote work as one of the strategies in their #COVID19 emergency response - see how Azure Windows Virtual Desktop can help your organisation respond to these events #RemoteWork https://t.co/q7d6mfB8gj
5,1252024178867204096,"A new &amp; brutal type of inequality is emerging from #COVID19. Those who can #WorkFromHome &amp; the working poor who can't afford to #StayAtHome who are sustaining the economy at risk to their own health, safety &amp; #HumanRights. More from @PNUDLAC:
https://t.co/f7bsnp3Azu https://t.co/lw5rATIuFc"
6,1252024188430254081,"@GFerro65 @NationOrder @ABC Within a day, we will be able to thank #45 for killing 45,000 #Americans #COVID19"
7,1252024182684168192,"How can your business respond, recover and thrive through the COVID-19 crisis? It starts with the right support. Use our Stimulus &amp; Support Finder to understand what government stimulus packages may be available to your business. https://t.co/Z6IsFXnOHQ
#COVID19 https://t.co/ZGCOixMzaT"
8,1252024180603830273,"Unemployment in Europe could nearly double in the coming months, with up to 59 million jobs at risk from permanent cutbacks as well as reductions in pay and hours because of the #COVID19 pandemic, estimates from consultancy McKinsey said. https://t.co/f68PDEe3oV"
9,1252024180083654657,"Hungry kids are getting needed food during #COVID19 thanks to TrueNorth Weekend PowerPacks. Done w/ the #Grant, #Hesperia &amp; #WhiteCloud districts &amp; #NewaygoCounty Career-Tech Center, more than 600 bags weekly go out. 

Donate now: https://t.co/y2EHtU6Awj 

https://t.co/XLXDsRxot6"
10,1252024193815896074,.@Google says it blocks 18 million #COVID19 related #scam #emails each day and that's not counting more than 240 million daily spam messages launched at #Gmail users that try to capitalize on the #coronavirus crisis. https://t.co/dMd1pDjsVJ https://t.co/CGvyPGAbsY
11,1252024197376868354,"@sanisquard @sadoo_24 They are seriously transmitting the virus within the community. Stay at home, we no go stay. We are gona be under lockdown for a loooong time if we dont cut the transmission. 
#COVID19
#NCDC"
12,1252024180918403072,The #COVID19 #pandemic has left physicians with many questions. Here are some frequently asked questions including how to respectfully enforce #quarantine and how to conserve #PPE. https://t.co/VB6cEyJ5sv
13,1252024210622492673,"The rule of law isn’t like a decoration to be taken down when it becomes inconvenient to the exercise of state power. It is there to protect our freedoms from abuses of state power. #auspol 
#covid19 https://t.co/PQIQMc57Td"
14,1252024184298860544,What part of #COVID19 don’t you understand? My goodness! https://t.co/apnElKFoFI
15,1252024225281515526,Tell me why again we’re all so seemingly enraptured by these daily freak shows? #Resist #COVID19 #trumpPresser https://t.co/zUp39h8FOP
16,1252024195908853761,https://t.co/M7PiohnzLa - [Advice] #epitwitter https://t.co/42U27Tk7lG
17,1252024223599595520,How does one go from being a part of a vocation of distinction to a hero? Check out @DrinkTapdotOrg to learn more about the heroes that make sure your water is #ThereWhenYouNeedIt during the #COVID19 pandemic. https://t.co/uv0vlMVAvd https://t.co/qHlPHX23pW
18,1252024192670859265,"#Coronavirus or Covid-19 is impacting small and big businesses all over. Here is Mark Schaefer's take on what businesses can do to survive the crisis. https://t.co/4keXCuKKyV 

via @shane_barker https://t.co/jLqbiChfQZ"
19,1252024181618868224,"""Thank You"" and ""We ❤ U"" is nice but really it all means shit if the #COVID19 low-paid critical workers aren't compensated with higher pay and benefits."
20,1252024179538395138,"In this @25thID “Mental Health Minute” video, behavioral health officer Capt. Christel Thompson shares #tips for staying connected during the #COVID19 pandemic while continuing to practice #socialdistancing. https://t.co/p0NO3C9KZM"
21,1252024209649422339,"UPDATE: New cases of #coronavirus #COVID19 #COVID_19 in US (+3553, tot. 759086), Spain (+2010, tot. 198674), Canada (+652, tot. 35633), Serbia (+324, tot. 6318), Ghana (+208, tot. 1042), Colombia (+171, tot. 3792), Nigeria (+86, tot. 627)"
22,1252024205547319298,Shall we go tax-free for a year? #COVID19 #MCO #myedgeprop https://t.co/u8iBPCuODb https://t.co/QORf0yfBx6
23,1252024190703673346,"Dr. @Andrew_Solomon, a #Psychology Professor at @ColumbiaMed writes for @nytopinion about responses to a surge in mental illness cases since the start of the #covid19 pandemic. How can interdisciplinary fields work together to tackle this crisis? https://t.co/g0QkhjzChY"
24,1252024209129291779,"As #COVID19 continues to spread, #retail supply chain leaders need to quickly &amp; effectively identify key impacts on their supply chains. Listen to @Gartner_SC #podcast. #GartnerSC #SupplyChain https://t.co/h9Kg0QrUl2"
25,1252024179366510592,In response to the #COVID19 pandemic @CBC has launched the #CreativeReliefFund to help support Canadian creators who are struggling during this time. #funding #creatives Learn more: https://t.co/74jt0rj1cd
26,1252024178049310720,"Once again, the anti-science right-wing Matt Shea is making an outrageous claim: that our rights are being taken from us during the #COVID19 pandemic because we have to practice social distancing for public health and safety. 
https://t.co/5j31j6HME9"
27,1252024178074583040,"WE5 when I told @ShirKi that tomorrow I might finish the #laundry she laughed. It was the best #PostCovid19 joke I made since #COVID19 started. B/c as we know, the movie never-ending story was built following ""never-ending laundry!"""
28,1252024178061934592,Satellite images reveal the impact of coronavirus from space..... || #Coronavirus #CoronavirusPandemic #COVID #COVID19 #COVID2019 #Covid_19 #CoronaVirusOutbreak #COVIDー19 #China #Iran #Japan https://t.co/oKI735ZLeF
29,1252024192909918210,"Empty labs, abandoned research: Coronavirus puts science on hold | Grist https://t.co/uvokwfqvPT #coronavirus #CoronaVtj https://t.co/PI8din93Bj"
30,1252024212476190720,Trump has brought up his own hotels numerous times during the #COVID19 presser.
31,1252024215613706240,"'They had tests that were no good.' Once again, there were no tests for #coronavirus you lying sack of shit."
32,1252024178384879616,"“To have an American president to encourage people to violate the law, I can’t remember any time during my time in America where we have seen such a thing,” Inslee told ABC’s “This Week.”

#minneapolis #mn #covid19 #coronavirus 

https://t.co/zRLu0StNdP"
33,1252024179391492097,"Ateneo, La Salle join forces for #COVID19 relief.

Details -&gt; https://t.co/MQN8l2kFEY"
34,1252024179546882054,Rita Uhler is proud of her work teaching at a Colorado prison despite the dangers of #COVID19. #ProtectAllWorkers. @CoWINSpolitics  https://t.co/nPqUdgvPhs
35,1252024229270360066,@Soutiam21 We are all perplexed by the shallow viciousness of our political journalists. What the hell is wrong with them? @peston @@laurakuenssberg @jonsnow #coronavirus
36,1252024221011718145,"The https://t.co/i1yJ5bZIHa team wants to 🙏thank🙏 our healthcare professionals helping on the frontlines of this COVID-19 pandemic. 
#COVID19 #Nurses #Doctors
https://t.co/F6uqCM3u3o https://t.co/9IbLsPOHFL"
37,1252024189013438466,"@realDonaldTrump @realKTMcFarland Invoking the Divine Feminine.Please rescue us .We surrender.
https://t.co/9zOL4UYdcE
@narendramodi @realDonaldTrump @EmmanuelMacron @AngelaMerkeICDU @KremlinRussia @AbeShinzo @BarackObama @ScottMorrisonMP
#COVID #Covid_19 #quarantine #QuarantineLife #StayAtHome #StayHome #Corona"
38,1252024248404709389,Savio art students were asked to try out a few digital drawing apps/programs. This is what they made. Please feel free to share it with those you know on the front lines of the #CoronavirusPandemic. #ThankYouHelpers #Savio #StayHome #StaySafeStayStrongStayHealthy #SavioArt2020 https://t.co/CmHPMkT1XP
39,1252024188283555846,"Have an upcoming video call? Send your transmission from the cockpit of the Millennium Falcon. | Official #StarWars backgrounds have been released that you can use:

#StayHome #RemoteWork #Space #SocialDistancing #COVID19 #Zoom https://t.co/O9xiraMGxE"
40,1252024197192331264,"All the chaos of #COVID19 makes it hard for people to appear on the podcast. 

Lori on Liberty postpone tonight. Next week we have another sit down with #Christian Bill Whatcott of Canada, and Evangelical Kent Hovind. 

We might have something in the meantime."
41,1252024241798746112,"Tomorrow, join us LIVE for updates of #TzuChi’s Global #COVID19 relief, touching stories from #TzuChiVolunteers around the world 🌎, &amp; remarks from #Dharma #MasterChengYen! Tune in 4/20 @ 9:30/6:30pm ET/PT: https://t.co/Q9YzMLfaCE EN translation: https://t.co/SRqNFUFqEx https://t.co/TtkTTPoUPV"
42,1252024199960551424,"Monroe County has more than 1,000 cases of #coronavirus."
43,1252024197792124938,#CapitolReport : New #poll numbers reveal CT approves of Gov. @NedLamont 's handling of #coronavirus pandemic https://t.co/lVKzGQlz5K https://t.co/fLJ7umFBwL
44,1252024203018199041,We’re learning that the term social distancing may not be precisely right — physical distancing is more like it. Learn more.  #coronavirus #futureofwork https://t.co/ic3mgUc0Ub
45,1252024183304921088,"@patmorr63 @ABCWorldNews @Clayton_Sandell 80% of people testing negative, of those testing positive, large majority have mild symptoms. Most kids feel nothing (spreaders!). #COVID19 much worse than flu, more contagious too, inside for over a month, expectations were longer???"
46,1252024201193705473,"LOCKDOWN: South African Small Businesses(SMME) CAN operate amid Coronavirus COVID-19 pandemic,  learn here how: https://t.co/0wOKiT3x7T

 #coronavirussa #coronavirus #coronavirusInSA #covid19sa #SouthAfricaLockdown #lockdowninsa #lockdowninsouthafrica #SimphiweDanaMustFall"
47,1252024193639755776,https://t.co/b5ZXfaBEYH Why are stocks soaring as the economy melts down? Thank the Fed. #epitwitter
48,1252024178317778945,"More than 100,000 coronavirus infections in Latin America: AFP tally #COVID19 https://t.co/CqrKVWmpXw"
49,1252024194373767168,"Hand washing! Gargle! To protect an important person #コロナウイルス #手洗い #うがい #こまめにね #Coronavirus #Handwashing #Gargle April 20, 2020 at 09:00AM"
50,1252024214724448260,“It's been said that courage is the one quality that guarantees all others.” – Ronald Reagan #WhatWouldReaganSay #COVID19 #AmericaWorksTogether https://t.co/ZBWiq5eDc0
51,1252024183699263491,"GM, Philips land $1.1B in HHS ventilator contracts, Medtronic boosts production https://t.co/Rr3r6DKH0a via @healthcaredive #covid19"
52,1252024178103840770,Do you own a business or work in Tokyo? Check out this list of links (Japanese) for companies &amp; workers in Tokyo on #COVID19 support: https://t.co/DAMfGLA4RN #Coronavirus #StaySafe
53,1252024209204826113,What are the immediate actions #marketing leaders must take as they make cuts to marketing #budgets due to #COVID19 disruption? Find out here. #GartnerMKTG @Gartner_MKTG  https://t.co/5GCKcGyVs0
54,1252024202783264768,@Oluwaniyibabafe Imagine an educated fool yesterday telling me that #COVID19 is a scam and a way for govt officials to loot funds
55,1252024178397581314,#Iran's #IRGC says it has invented a device to detect #coronavirus yet has not provided evidence to back up the claim https://t.co/PqU4ognYke
56,1252024205866086405,"@PhilipRucker trump really is a peevish child
#IllegitimatePresident
#Covid_19
#TheMadKing
#LawlessGOP
#TheMadKing https://t.co/M12paiqL7p"
57,1252024231988269056,Hi @EUHomeAffairs @Place_Beauvau @BMI_Bund @foreignoffice @Justitiedep @ministerieJenV thousands of refugees are at risk of #COVID19 on Greek islands due to crowded unsanitary conditions. Will you act now to #LeaveNoOneBehind and save lives? 👉 https://t.co/7woW5iHdNa
58,1252024212467912705,Tonight’s episode of the #podcast “How To Have #Intimacy During #Coronavirus” is one you won’t want to miss. Be sure your subscribed so that you’re notified when it’s available.
59,1252024188988252163,"#COVID19 is literally and metaphorically a bug in our system. [BLOG] by Ben Pring, Director of the Center for the #FutureofWork https://t.co/qGuIcBYw0U"
60,1252024178473160704,"""How can we be sustainable post-Covid 19?""

https://t.co/HTeecvTIBe

#askaway #englishclass #englishclasses #englishonline #English #LearnEnglish #Languages #ingles #OnlineClasses  #coronavirus #coronavirus2020 #virus #Earth #STUDY #nonessentialtravel #PostCovid19 #sustainable"
61,1252024191567695872,San Francisco Mayor Signs Public Health Emergency Leave Ordinance &amp; Agency Issues Guidelines #COVID19 https://t.co/tkP2XTHQ3R
62,1252024208739229698,"Join @Gartner_inc experts for a complimentary #webinar, ""Leading Through COVID-19: #Revenue and #Cost Impacts in #Healthcare and #LifeScience."" Register in advance. #COVID19  #Business #Leadership https://t.co/CW2V7kAAtC"
63,1252024184068136960,Eye on Boise: Few safety nets for undocumented Idahoans during #COVID19 outbreak; link to full story by Idaho Press reporter @RachelSpacek #idpol https://t.co/XAR0xqL88h https://t.co/R1jyc64akK
64,1252024238518632449,#learntocode Lesson 1 - The Print Statement - during #covid19 by #stayhome  with CodeLaamaa.  Introduction to #code -  - https://t.co/Ll7d9BokOZ Brought to you by https://t.co/k2beNJhdRN - Learn to Code Save Earth-5 https://t.co/5CXaH5svXb https://t.co/m9lNOxNHXP
65,1252024180624654336,"Clients should be advised to withdraw the full amount allowable through early access to their super fund if this COVID-19 relief measure is required. A must read on https://t.co/2MO7umF55Z
#SMSF #trustees #SMSFInvestors #financialplanning #smstrusteenews #COVID19 #COVID__19"
66,1252024214430703617,Covid19 status 2020-04-20 09:00 https://t.co/FzMHBZqXqL #covid19 #covid19jp #コロナウィルス https://t.co/gEsc5R2y2y
67,1252024179114668032,Did you hear a myth that children are at a higher risk for getting #COVID19 than adults? Study the facts: https://t.co/L4TJdXXfXR #Coronavirus #COVID19Pandemic https://t.co/74PbRpczFf
68,1252024214573506562,"“My vent is part of my body — I cannot be without it for more than an hour at the most…. I deserve the same treatments as any patient…. I will not apologize for my needs,” said @SFdirewolf.
 
How is the #coronavirus impacting people with disabilities?
 
https://t.co/g8yfTyfxXH"
69,1252024178091360257,Animation of flights before and after #COVID19 lockdowns https://t.co/ajl0TtTtjf
70,1252024185687343104,"Hospital Revenues Rose, Margins Fell Before COVID-19 Outbreak https://t.co/X5QycbF8ru via @RevCycleIntel #healthcare #covid19 https://t.co/9aYe0MqTS0"
71,1252024206222430208,#Politics: Preventative measures may harm the economy in the short term but protect it in the long term.. Click here https://t.co/XhLzC4hUtE to know more. #Coronavirus
72,1252024180775813123,"Kentucky may have reached a #coronavirus holding pattern of sorts, but Health Commissioner Dr. Steven Stack reiterated over the weekend that the state remains a ways off from meeting even the first benchmark necessary to relax precautions. https://t.co/2jFRrgaIJg"
73,1252024179341365248,"#SaudiArabia has been ramping up its efforts to detect #coronavirus and has been actively conducting screenings across the country, with more than 180,000 tests conducted.  https://t.co/br3Lq9lska"
74,1252024200757477376,"#COVID19 is disrupting supply chains for immunizations. The Measles and Rubella initiative said 24 countries suspended immunization programs, leaving as many as 100 million children at risk of contracting measles. #CoronavirusPoliticsDaily 

https://t.co/PAw4RYJwwg"
75,1252024244080427008,"Comment: ""#Coronavirus could make a mirage of Saudi Arabia's Vision 2030"" https://t.co/P0WgG5jvvl"
76,1252024196164734980,"COVID19 Stats for Senegal as of April 20, 2020:

Total Cases: 367
New Cases: +17
Total Deaths: 3
New Deaths: no data
Total Recovered: 220
Active Cases: 144
Serious/Critical Cases: 1
Total Tests: no data
Tests/1M pop: no data

#coronavirus #COVID19"
77,1252024223771451392,"@realDonaldTrump @BretBaier Feb 25, you said it was a hoax. You spent February at rallies doing NOTHING to prepare us for #COVID19"
78,1252024235708624896,"#FromTheRight: The Absurd Case against the Coronavirus Lockdown | Analysis in @NRO 

#Coronavirus #Lockdown #Protests

https://t.co/xCoADPRmQb"
79,1252024192519856128,"Cases: 2,401,379 (+7,088) 
Deaths: 165,044 (+106) 
Recovered: 623,903 (+12,023) 
Active Cases: 1,777,476 (74.02%)
Completed Cases: 788,947 (32.85%)
Mortality Rate: 6.87% (-0.02%)
Case Fatality Rate: 20.92% (-0.31%)

#COVID19 #Coronavirus #StayHome"
80,1252024217295564801,"@realDonaldTrump Invoking the Divine Feminine.Please rescue us .We surrender.
https://t.co/9zOL4UYdcE
@narendramodi @realDonaldTrump @EmmanuelMacron @AngelaMerkeICDU @KremlinRussia @AbeShinzo @BarackObama @ScottMorrisonMP
#COVID #Covid_19 #quarantine #QuarantineLife #StayAtHome #StayHome #Corona"
81,1252024234785767424,How to approach #coronavirus #safedistancing using your psychological strengths via @tayyabrashid ... https://t.co/BGEm1NZN61
82,1252024240095793152,"It’s fascinating to witness natural selection in real time. 
#COVID19 #StayatHome #Darwin https://t.co/EunVatZcHJ"
83,1252024231275225089,"If you deny #COVID19 is a serious disease, the hospitals should deny you a bed when you come down with it 🤷‍♂️"
84,1252024219808010245,Tips for #dementia #caregivers in long-term or community-based settings from the Alzheimer's Association. #Alzheimers #caregiving #COVID19 https://t.co/GI6bbVp8RE
85,1252024180070998017,"#CityofTO has launched an online system where residents can report issues of #COVID19 non-compliance, including individuals not self-isolating and operation of non-essential businesses and construction sites. Submit a report: https://t.co/GzqM53bJfb #Ward24 #ScarbTO
@cllrainslie"
86,1252024190347153408,"""Getting your hair done is way more important than anyone has ever realized."" #coronavirus
https://t.co/Ib4t6sJJeZ"
87,1252024242692071426,"Tomorrow, join us LIVE for updates of #TzuChi’s Global #COVID19 relief, touching stories from #TzuChiVolunteers around the world 🌎, &amp; remarks from #Dharma #MasterChengYen! Tune in 4/20 @ 9:30/6:30pm ET/PT: https://t.co/B5KenhBazj EN translation: https://t.co/KA6v6yoYEf https://t.co/dlL60l51L0"
88,1252024179529924608,"#COVID19 can be confusing and scary for all of us, but even more so for kids.

Check out “My Hero is You” - a story book specially designed to help children around the world learn, cope and thrive through the pandemic."
89,1252024193337757698,"Unfortunately I can't stay with you till the end @GamesDoneQuick so good luck in raising as much money as possible and thanks to speedrunners and all who organizes the event for working for the noble cause. Let's go for $450,000! #CGDQ #COVID19 #StaySafe #StayatHome"
90,1252024184361963521,A message to all of our #NYPHeroes tonight – #BelieveInYourself just as we #BelieveInYou. Join us in a round of applause for the front-line staff putting their best foot forward to fight #COVID19. #SolidarityAt8 https://t.co/ed0L4s8YMX
91,1252024226439204867,"#TrumpPressConf 
#TrumpPressBriefing 
#TrumpPressConference 

Well done @whca!  TY @CNN
and @CBSNews!

#Trump #LiarInChief
#UnfitToBePresident 
#coronavirus 
#COVID19"
92,1252024198576431105,"The new week brings my stram back from weekend! I will be LIVE at 10am EST, continuing the 100% #Hitman2 run, and 5pm EST with the casual #ResidentEvil 5 playthrough at 
https://t.co/MnUB1fyBlF

#twitch #twitchtv #newstream #newstreamer #covid19 #ihatehashtags #someonesaveme"
93,1252024178133266432,"How is cooperation in all corners of the world helping lessen the effects of the #coronavirus on the most vulnerable? 

9 ways @UN teams around the world are fighting #COVID19 here: 

https://t.co/Y4uOcGGg7q"
94,1252024179974684679,"Learn the clinical characteristics of 18 hospitalized patients with #coronavirus pneumonia in Wuhan, China. Details in this @JAMA_current CME article. https://t.co/JwiXLWMdr2"
