,id,text
0,1224511422484238336,"RT @LegendaryEnergy: Just two weeks of Coronavirus media coverage and:

✅ A new vaccine is on the way
✅ Even staunch libertarians are calli…"
1,1238812169095057408,"RT @OldClassicBrown: If you have ever been here, congratulations, you are immune from coronavirus https://t.co/tRdrrxJskF"
2,1235071594906537985,RT @hollaa_backk: if you’ve ever used a frat house bathroom you’re immune to the coronavirus
3,1224367464617861121,"RT @TMe1official: Cocaine cures corona virus!! 😱.  
This just got interesting.  

Amma become a dealer for humanity sake. 😂

Mexico and Col…"
4,1274433834826608641,"RT @DeplrbleRzistr: It’s almost as if a whole lot of Americans have Covid and their immune systems are dealing with it just fine. 

Could i…"
5,1221742862343254018,RT @Jay_Piff: You anti vaccine niggas gone wish we had a vaccine for this coronavirus once this shit starts ripping us apart.
6,1223921427608264704,"RT @Kittuadwani2: True worship can cure incurable diseases like Cancer, Aids, Corona virus etc.
Saint Rampal Ji Maharaj is the one who prov…"
7,1221123142434861057,RT @WatcherDead: Since the MSM is bashing people for discovering that Bill Gates predicted the Corona Virus and trying to pin it on Q peopl…
8,1224018632734175232,"RT @Dinesh_Jat_: #NoMeat_NoCoronaVirus
Is corona virus or cancer?  Whatever may be the disease, Saint Rampal ji is cured only by the blessi…"
9,1222208811332767744,"RT @KayBurley: ""To get the vaccine into human studies would be about £1,500,000...to move it beyond that depends on how big the epidemic is…"
10,1234923472268165127,RT @dman16384: CaroGen’s vaccine candidate employs transformative VLV platform technology developed at Yale University School of Medicine a…
11,1224422675784830977,RT @MrAstrotheology: China Massive Lockdown over Novavirus; Mandatory Universal Vaccine Agenda Has Beg https://t.co/7uruEwbKR2
12,1224061670361726976,RT @DocRock1007: 41. Do you believe in coincidences? A #coronavirus deep dive: One of 4 Chinese laboratories engaged in bioweapons developm…
13,1247787463461883905,"Bill Gates, Coronavirus, and the Mark of the Beast https://t.co/uklkSPVjSi via @YouTube"
14,1224072317011054592,RT @PuffDragon11: Just read the @zerohedge piece on the coronavirus. My PhD is in Mol. Bio. No doubt this is an engineered bioweapon and no…
15,1223402846487375872,@TweetsMillenia @zerohedge I suspect China sent in its troll army to report ZH’s nCoV bioweapon story as “fake news”
16,1223701260802482177,"RT @EurekaStockade3: Thats why in a very short time--the Corona vaccine will magically appear
And millions will be vaccinated--esp Chinese…"
17,1276021703815180288,"RT @dockaurG: What if I was to tell you that a drug to prevent, cure &amp; treat early #COVID19 already exists?

And what if I told you it is o…"
18,1247792693658275842,"RT @That_IjebuBadoo: I'm so glad we now have a vaccine for Coronavirus, now people can stop dying. We can save lives if everyone uses it 🙏…"
19,1240603923225800705,"RT @Hayani: It is apparently the SAME way, Israel and Canada found their potential covid-19 vaccine. 

WE HAVE THE CAPACITY AND CAPABILITIE…"
20,1234973553583243264,I heard eating ass makes you immune to the coronavirus.
21,1224103940557623307,"RT @bhaktadasa: Thai Doctors ""Cure"" Coronavirus Patient Using Powerful AIDS Drugs | Zero Hedge https://t.co/HbCMvGpVuq"
22,1224336131216625664,"The flu will kill us in America  before the #coronavirus. The lack of Healthcare in America will kill us before the #coronaviruse. Trump will kill us before the #coronaviruse.  Income inequality will kill us before the #coronavirus in America. The  #cornonavirus
Is our friend."
